<Date>,<Close>,<Target>,<DayOfWeek>,<DayOfMonth>,<IsWeekend>,<IsStartOfWeek>,<PWA>,<PMA>
2012-04-11,1122,1102,2,11,0,0,1091.57,1108.30
2012-04-14,1102,1121,5,14,1,0,1093.29,1109.03
2012-04-15,1121,1123,6,15,1,0,1091.14,1107.47
2012-04-16,1123,1105,0,16,0,1,1094.57,1106.60
2012-04-17,1105,1104,1,17,0,0,1100.00,1105.80
2012-04-18,1104,1097,2,18,0,0,1102.29,1104.63
2012-04-21,1097,1098,5,21,1,0,1105.29,1103.67
2012-04-22,1098,1087,6,22,1,0,1110.57,1102.57
2012-04-23,1087,1080,0,23,0,1,1107.14,1102.93
2012-04-24,1080,1083,1,24,0,0,1105.00,1103.17
2012-04-28,1083,1088,5,28,1,0,1099.14,1103.20
2012-04-29,1088,1088,6,29,1,0,1093.43,1102.67
2012-04-30,1088,1078,0,30,0,1,1091.00,1102.33
2012-05-01,1078,1080,1,1,0,0,1088.71,1102.27
2012-05-02,1080,1091,2,2,0,0,1086.00,1102.20
2012-05-05,1091,1100,5,5,1,0,1083.43,1102.53
2012-05-06,1100,1096,6,6,1,0,1084.00,1102.57
2012-05-07,1096,1096,0,7,0,1,1086.86,1102.03
2012-05-08,1096,1110,1,8,0,0,1088.71,1101.17
2012-05-09,1110,1105,2,9,0,0,1089.86,1100.03
2012-05-12,1105,1109,5,12,1,0,1093.00,1099.33
2012-05-13,1109,1118,6,13,1,0,1096.86,1098.43
2012-05-14,1118,1125,0,14,0,1,1101.00,1097.77
2012-05-15,1125,1110,1,15,0,0,1104.86,1097.40
2012-05-16,1110,1124,2,16,0,0,1108.43,1097.90
2012-05-19,1124,1131,5,19,1,0,1110.43,1097.67
2012-05-20,1131,1157,6,20,1,0,1114.43,1098.57
2012-05-21,1157,1173,0,21,0,1,1117.43,1100.10
2012-05-22,1173,1186,1,22,0,0,1124.86,1102.37
2012-05-23,1186,1188,2,23,0,0,1134.00,1105.37
2012-05-26,1188,1180,5,26,1,0,1143.71,1109.57
2012-05-27,1180,1190,6,27,1,0,1152.71,1111.77
2012-05-28,1190,1180,0,28,0,1,1162.71,1114.37
2012-05-29,1180,1190,1,29,0,0,1172.14,1116.67
2012-05-30,1190,1189,2,30,0,0,1179.14,1118.57
2012-06-02,1189,1180,5,2,1,0,1183.86,1121.40
2012-06-05,1180,1180,1,5,0,0,1186.14,1124.23
2012-06-06,1180,1170,2,6,0,0,1185.29,1127.00
2012-06-09,1170,1160,5,9,1,0,1184.14,1129.73
2012-06-10,1160,1160,6,10,1,0,1182.71,1132.50
2012-06-11,1160,1152,0,11,0,1,1178.43,1135.17
2012-06-12,1152,1156,1,12,0,0,1175.57,1137.73
2012-06-13,1156,1150,2,13,0,0,1170.14,1139.87
2012-06-16,1150,1146,5,16,1,0,1165.43,1142.13
2012-06-17,1146,1142,6,17,1,0,1161.14,1144.53
2012-06-19,1142,1136,1,19,0,0,1156.29,1146.73
2012-06-20,1136,1130,2,20,0,0,1152.29,1148.43
2012-06-23,1130,1106,5,23,1,0,1148.86,1149.63
2012-06-24,1106,1105,6,24,1,0,1144.57,1150.77
2012-06-25,1105,1105,0,25,0,1,1138.00,1151.10
2012-06-26,1105,1105,1,26,0,0,1130.71,1150.93
2012-06-27,1105,1104,2,27,0,0,1124.29,1150.93
2012-06-30,1104,1120,5,30,1,0,1118.43,1150.80
2012-07-01,1120,1140,6,1,1,0,1113.00,1150.33
2012-07-02,1140,1130,0,2,0,1,1110.71,1150.17
2012-07-03,1130,1121,1,3,0,0,1112.14,1151.17
2012-07-04,1121,1129,2,4,0,0,1115.57,1151.37
2012-07-07,1129,1128,5,7,1,0,1117.86,1151.03
2012-07-08,1128,1123,6,8,1,0,1121.29,1150.10
2012-07-09,1123,1120,0,9,0,1,1124.57,1148.60
2012-07-10,1120,1120,1,10,0,0,1127.29,1146.50
2012-07-11,1120,1129,2,11,0,0,1127.29,1144.23
2012-07-14,1129,1125,5,14,1,0,1124.43,1142.23
2012-07-15,1125,1124,6,15,1,0,1124.29,1140.20
2012-07-16,1124,1115,0,16,0,1,1124.86,1138.37
2012-07-17,1115,1074,1,17,0,0,1124.14,1136.17
2012-09-15,1074,1063,5,15,1,0,1122.29,1133.70
2012-09-16,1063,1050,6,16,1,0,1115.29,1130.17
2012-09-17,1050,1049,0,17,0,1,1107.14,1126.27
2012-09-18,1049,1045,1,18,0,0,1097.14,1122.27
